  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  1.339796088808181164E-003  9.999999999999995559E-001 -1.127570259384924611E-017  1.561251128379126385E-017  0.000000000000000000E+000  9.685078409804368516E-001  2.045386199705460095E-001  7.639692210099009451E-001
  1.360725613116683854E-003  1.000000000000000000E+000  2.168404344971008868E-017  1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804334099E-001  2.048672546942637840E-001  7.636405862861845861E-001
  1.381419781436106411E-003  9.999999999999998890E-001  2.428612866367529932E-017 -2.775557561562891351E-017  0.000000000000000000E+000  9.685078409804321886E-001  2.050301324936460723E-001  7.634777084868040742E-001
  1.404183366587471136E-003  1.000000000000000000E+000  1.301042606982605321E-017  1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804293020E-001  2.052096449450185323E-001  7.632981960354322526E-001
  1.428579612044211019E-003  9.999999999999995559E-001 -2.081668171172168513E-017  1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804306343E-001  2.053411919785372020E-001  7.631666490019056726E-001
  1.453820651894227600E-003  1.000000000000000000E+000 -5.551115123125782702E-017 -3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804299682E-001  2.053870105265846735E-001  7.631208304538570353E-001
  1.479744489020572585E-003  1.000000000000000000E+000 -3.295974604355933479E-017 -3.122502256758252770E-017  0.000000000000000000E+000  9.685078409804341870E-001  2.053874372542683346E-001  7.631204037261755113E-001
  1.506265126830520600E-003  9.999999999999992228E-001 -1.387778780781445676E-017 -1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804288579E-001  2.053315001568662146E-001  7.631763408235816559E-001
  1.533290194956932629E-003  1.000000000000000000E+000  8.673617379884035472E-019 -1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804299682E-001  2.051989620202315234E-001  7.633088789602210378E-001
  1.560570479922134424E-003  9.999999999999995559E-001 -9.540979117872439019E-018  1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804321886E-001  2.050085525852203550E-001  7.634992883952325116E-001
  1.588083519518679494E-003  1.000000000000000000E+000  9.540979117872439019E-018 -1.214306433183764966E-017  0.000000000000000000E+000  9.685078409804337429E-001  2.047913605185625874E-001  7.637164804618914449E-001
  1.615769319258722730E-003  9.999999999999996669E-001 -5.464378949326942347E-017 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804334099E-001  2.045327338262290517E-001  7.639751071542258964E-001
  1.643704691783142661E-003  1.000000000000000000E+000 -1.474514954580286030E-017 -4.510281037539698445E-017  0.000000000000000000E+000  9.685078409804395161E-001  2.042163233181001347E-001  7.642915176623578111E-001
  1.671818232670152504E-003  9.999999999999997780E-001 -1.214306433183764966E-017  1.214306433183764966E-017  0.000000000000000000E+000  9.685078409804419586E-001  2.038761983659627686E-001  7.646316426144795786E-001
  1.700153109714697651E-003  9.999999999999996669E-001 -1.647987302177966740E-017 -2.602085213965210642E-017  0.000000000000000000E+000  9.685078409804437349E-001  2.035268278089236715E-001  7.649810131715240047E-001
